,funding_agency_name,Country
892,Colorado State University and BP Exploration Operating Company Ltd,United States
893,"Office of the Higher Education Commission , Ministry of Education",Thailand
895,Office of Narcotic Control Board,Thailand
896,National Research Council of Thailand,Thailand
897,National Research Council of Thailand and Ramathibodi Research Development Fund,Thailand
898,Swiss NSF,Switzerland
901,Center of Scientific Equipment for Advanced Research of Thammasat University,Thailand
902,Central Scientific Instrument Center,India
903,Ratchadapiseksompoch Endowment Fund,Thailand
904,Thailand National Nanotechnology Center,Thailand
906,Plan Estatal de Inves-tigación Científica y Técnica y de Innovación,Spain
908,Asian Infrastructure Investment Bank,China
909,BRICS Bank,China
910,Research Foundation - Flanders,Belgium
911,TRF-CAS,Thailand
912,Thailand Research Fund-Chinese Academy of Science,Thailand
914,ASRU,United Kingdom
915,Thailand and Chulalongkorn University,Thailand
916,Chulalongkorn Academic into,Thailand
917,Genome Information Upgrading Program,South Korea
918,National Research Council of Thailand and Health Systems Research Institute,Thailand
919,Royal Initiative of Her Royal Highness Princess Maha Chakri Sirindhorn,Thailand
921,Rajamangala University of Technology Isan,Thailand
922,"Chulalongkorn University, Bangkok, Thailand to AB",Thailand
923,Ministry of Health & Welfare,South Korea
924,"Ministry of Health & Welfare, Republic of Korea",South Korea
925,Bioverativ,United States
926,Chulalongkorn University Fund for Doctoral Scholarship,Thailand
927,JSPS,Japan
928,Petchra Pra Jom Klao Doctoral Scholarship,Thailand
929,Medical Association of Thailand,Thailand
931,Biogen-Idec,United States
932,Thrombosis Research Society,United Kingdom
933,CU Rachadapiseksompote Endowment Fund,Thailand
934,Chulalongkon University,Thailand
935,Zigong City Science and Technology office,China
937,Department of Veterans Affairs Office of Research and Development,United States
942,China Higher Education Society of Medical Education,China
943,Chinese Medical Association Medical Education Branch,China
944,Department of Education of Liaoning Province’s Basic Research Projects of Liaoning Colleges and Universities,China
946,Thailand National Research Fund,Thailand
947,Chiba Institute of Technology International Academic Fellowship Program for Cooperative Universities,Japan
948,TRF-OHEC-Chulalongkorn University,Thailand
949,Centers of Excellence for Influenza Research and Surveillance,United States
950,"Hoffmann-La Roche, Ltd.",Switzerland
951,Overseas Research Experience Scholarship for Graduate Students of Chulalongkorn University,Thailand
954,Thai Research Fund,Thailand
955,AJ Plast Public Company Limited,Thailand
957,"Ratchadapiseksomphot endowment fund, Faculty of Medicine, Chulalongkorn University",Thailand
958,Associates of Cape Cod,United States
959,Beijing Lisheng Cardiovascular Health Foundation,China
960,Istituto Auxologico Italiano,Italy
962,Ministry of Science and ICT,South Korea
963,International Center for Natural Environmental Science of Meijo University,Japan
964,Chulalongkorn Graduate School,Thailand
965,"Join Funding, Ratchadapiseksomphot Endowment Fund",Thailand
966,J. Craig Venter Institute,The United States
967,NIAID Pathogen Functional Genomics Resource Center,United States
968,U.S. National Institutes of Health,United States
969,KAKENHI,Japan
970,Nagoya City University Graduate School of Medical Sciences,Japan
971,United Graduate School of Agricultural Science,Japan
973,German Federal Ministry for Economic Cooperation and Development,Germany
974,NIH National Institute on Aging,United States
976,Rachadaphisek Sompot Endorsement Fund,Thailand
977,Thailand Research Foundation,Thailand
980,Endocrine Society of Thailand,Thailand
981,"Faculty of Medicine Ramathibodi Hospital, Mahidol University",Thailand
982,Sripatum University,Thailand
984,Academy of Sciences of Ukraine,Ukraine
985,Hungarian Ministry of Human Capacities,Hungary
986,MSMT CR of the Czech Republic,Czech Republic
987,Nylands nation vid Helsingfors Universitet,Finland
988,National Research Council of Thailand-Japan Society for the Promotion of Science,Thailand
989,Chu- lalongkorn University,Thailand
990,College of Public Health Sciences,Thailand
991,National Science Technology and Innovation Policy Office,Thailand
992,Ratchadapiseksompoj Fund,Thailand
993,Division of Intramural Research,United States
995,Department of Veterinary Services,Malaysia
996,Department of Chemical Engineering from Kasetsart University,Thailand
999,SEARCH/Thai Red Cross AIDS Research Centre,Thailand
1000,Chulalongkorn University-Veterinary Science Fund,Thailand
1001,Sirindhorn International Thai-German Graduate School of Engineering,Thailand
1003,Chulalong-korn Academic Advancement,Thailand
1004,US National Institute on Aging,United States
1005,Chulalongkorn University Office of International Affairs Scholarship for Short-term Research,Thailand
1006,NAIST,Japan
1008,Janssen/Tibotec,Belgium
1009,Ratchadaphiseksomphot Endowment Fund for the Natural Products for Ageing and Chronic Diseases,Thailand
1010,Government of Abu Dhabi,United Arab Emirates
1011,National Human Genome Research,United States
1012,PKS Italia,Italy
1014,Ratchadapiseksompotch Endowment Fund,Thailand
1015,German Primate Centre in Goettingen,Germany
1016,BMKG,Indonesia
1017,DOST-PCIEERD,Philippines
1019,Meiji Pharmaceutical University,Japan
1020,Shaanxi Science Fund for Distinguished Young Scholars,China
1021,WHO-Thailand,Thailand
1022,World Health Organization Thailand,Thailand
1023,BMNH,United Kingdom
1026,Center for Allergy Research and Education,United States
1027,"Science Achievement Scholarship of Thailand and Research Center for Academic Excellence in Petroleum, Petrochemical and Advanced Materials",Thailand
1029,"Department of Medicine, Faculty of Medicine, Chulalongkorn University",Thailand
1030,Dermatological Society of Thailand,Thailand
1032,CAPES Foundation,Brazil
1033,Graduate School of Chulalongkorn University and Ratchadaphiseksomphot Endowment Fund,Thailand
1037,Universities Space Research Association,United States
1039,Grant for Chula Research Scholar,Thailand
1040,Western Center for Food Safety,United States
1043,Siriraj Core Research Facility,Thailand
1044,Siriraj Research and Development,Thailand
1046,Melbourne Institute,Australia
1047,EPSCoR/IDeA,United States
1048,National Natural Science Funding of China,China
1049,Zhejiang Provincial Natural Science Foundation of China,China
1050,Zhejiang Qianjiang Talent project,China
1052,Rachadapisek Sompote Fund for Artificial Intelligence,Thailand
1053,Chulalongkorn University Animal Care and Use Committee,Thailand
1054,"Swine Research and Development Center, Thailand",Thailand
1055,The Thailand Research Fund Senior Scholar,Thailand
1057,Federal Ministry of Education and Research BMBF,Germany
1058,Ratchadapisek Sompotch Endowment Fund,Thailand
1059,Boehringer-Ingelheim-Foundation,Germany
1060,"Department of Chemical Technology, Chulalongkorn University",Thailand
1061,JGSEE,Thailand
1062,Department of Biological Chemistry John Innes Centre,United Kingdom
1063,John Innes Centre,United Kingdom
1064,ASIAA,Taiwan
1065,Chulalongkorn University?s CUniverse,Thailand
1067,Key Fund Project of Educational Commission of Sichuan Province,China
1068,National High Technology Research & Development Program,China
1069,Chulabhorn Royal Academy,Thailand
1070,"Ministry of Higher Education, Science, Research and Innovation",Thailand
1071,"Thailand c Department of Lifelong Education, Faculty of Education, Chulalongkorn University",Thailand
1073,Princess Maha Chakri Sirindhorn Anthropology Centre,Thailand
1075,Gulf Coast Consortia,United States
1077,Chinese Academy of Science,China
1078,DOE Office of Science,The United States
1079,Deep Carbon Observatory,The United States
1080,National Science Foundation–Earth Sciences,United States
1081,CUniverse research promotion project of Chu-lalongkorn University in Bangkok,Thailand
1082,Japanese Society for Promotion of Science,Japan
1083,Korea Electronic Power Research Institute,South Korea
1084,"Ministry of Trade, Industry & Energy",South Korea
1085,Ministry of Agriculture and Cooperatives,Thailand
1087,International AIDS Society or ViiV Healthcare,Switzerland
1088,Anniversary Faculty of Dentistry Khon Kaen University Research Funding,Thailand
1090,Khon Kaen University Graduate School Thesis Support Scholarship,Thailand
1094,S.-FNRS,Belgium
1095,Ratchadaphiseksomphot Endowment Fund of Chula-longkorn University,Thailand
1096,JST CREST,Japan
1097,Faculty of Humanities and Rajabhat Suan Sunandha University,Thailand
1100,Ratchadapisek Sompotch Fund,Thailand
1101,Anniversary Chulalongkorn University Fund for the Doctoral Scholarship,Thailand
1102,"Chulalongkorn University, Thailand",Thailand
1106,Chulalongkorn Fund,Thailand
1109,"Ministry of Research, Technology, and Higher Education of the Republic of Indonesia",Indonesia
1112,NSF ECCS-1509076,United States
1114,"Graduate School, Chulalongkorn University",Thailand
1116,HIV-NAT,Thailand
1117,Leventis Founda,Greece
1121,Thailand Research Fund‐Chinese Academy of Science,Thailand
1122,Ratchadapiseksomphot endowment fund,Thailand
1126,JST-MIRAI,Japan
1127,Wellcome-Trust Major Overseas Programme in SE Asia,United Kingdom
1128,Children Cancer Fund,United States
1131,"Cancer Research UK, and Research Councils UK",United Kingdom
1132,European Research Council,Belgium
1133,Francis Crick Institute,United Kingdom
1134,NIAID,United States
1135,National Institutes of Allergy and Infectious Diseases,United States
1136,National Research Foundation of South Africa,South Africa
1138,Office of the Higher Education Commission,Thailand
1139,Swiss National Center for Mycobacteria,Switzerland
1140,Swiss National Science Foundation,Switzerland
1141,UK Medical Research Council,United Kingdom
1142,University of Zurich,Switzerland
1143,Wellcome Trust,United Kingdom
1146,China Mega-Project for Infectious Disease,China
1148,JSPS-RONPAKU,Japan
1149,European Accounting Association in Maastricht,The Netherlands
1151,DistinguishedYoungScholarsforHebeiProvinceofChina,China
1152,"Andrew Kambugu, Infectious Diseases Institute",Uganda
1153,Bamrasnaradura Infectious Disease Institute,Thailand
1154,Helen Joseph Hospital,South Africa
1155,Janssen Pharmaceutica NV,Belgium
1156,Janssen Pharmaceutical Companies of Johnson & Johnson and holds stock in Johnson & Johnson,United States
1158,"Karla Mellet, University of the Witwatersrand",South Africa
1159,Kenyatta Hospital,Kenya
1160,"Netherlands Australia Thailand Research Collaboration, Bangkok",Thailand
1161,"Siriraj Hospital Department of Infectious Disease Faculty of Medicine, Bangkok",Thailand
1162,Themba Lethu Research Centre,South Africa
1163,"UVRI Uganda Research Unit on AIDS, Entebbe",Uganda
1165,Yaoundé Central Hospital,Cameroon
1167,Sukhothai Thammathirat Open University,Thailand
1168,Tokyo Denki University,Japan
1169,The Development and Promotion of Science and Technology Talent Projects,Thailand
1170,International AIDS Soci-ety,Switzerland
1171,Deutsche Forschungsgemein-schaft,Germany
1173,Ibn Zohr University,Morocco
1174,Navarino Environmental Observatory,Greece
1176,Kaoh-siung Medical University,Taiwan
1177,International Institute for Nanotechnology,United States
1180,Allergan and Merz,United States
1183,Neurological Society of Thailand,Thailand
1185,Zambon Pharma,Italy
1186,Chulalongkorn University Veterinary Science Research Fund,Thailand
1190,University Medical Center Utrecht,Netherlands
1191,"Department of Materials Science, Faculty of Science, Chulalongkorn University",Thailand
1193,Silver Jubilee Fund of CU,Bangladesh
1194,Chulalongkorn University Fund for Doctoral scholarship,Thailand
1195,A.P. Sloan Foundation,United States
1197,F.R.S.-FNRS,Belgium
1198,Fonds pour la Formation ?,France
1199,Greek NSRF,Greece
1200,National Priorities Research Program,Qatar
1201,"National Science Center (Poland), contracts Harmonia",Poland
1204,Programa Estatal de Fomento de la Investigaci?n Cient?fica y T?cnica de Excelencia Mar?a de Maeztu,Spain
1205,la Recherche dans l'Industrie et dans l'Agriculture,France
1206,Costa Rica Institute of Technology,Costa Rica
1207,"Ministry of Science and Technology, Thailand, the Thailand Research Fund",Thailand
1208,"Ministry of Science, Technology and Telecommunications of Costa Rica",Costa Rica
1210,Institute of Mathematics for Industry,Japan
1211,"Institute of Mathematics for Industry, Kyushu University",Japan
1212,Thailand Reseach Fund,Thailand
1214,"Veterinary Science, Chulalongkorn University",Thailand
1216,Scientific Research–Flanders,Belgium
1217,Hadamard Mathematics LabEx,France
1219,Primate Research Institute,Japan
1220,Roscoe Stanyon (University of Florence,Italy
