,funding_agency_name,Country
608,National Research Council of Thailand and Ramathibodi Research Development Fund,Thailand
609,Swiss NSF,Switzerland
610,Center of Scientific Equipment for Advanced Research of Thammasat University,Thailand
611,Central Scientific Instrument Center,India
612,Ratchadapiseksompoch Endowment Fund,Thailand
613,Thailand National Nanotechnology Center,Thailand
614,Plan Estatal de Inves-tigación Científica y Técnica y de Innovación,Spain
615,Asian Infrastructure Investment Bank,China
616,BRICS Bank,China
617,Research Foundation - Flanders,Belgium
618,TRF-CAS,Thailand
619,Thailand Research Fund-Chinese Academy of Science,Thailand
620,ASRU,United Kingdom
621,Thailand and Chulalongkorn University,Thailand
622,Chulalongkorn Academic into,Thailand
623,Genome Information Upgrading Program,South Korea
624,National Research Council of Thailand and Health Systems Research Institute,Thailand
625,Royal Initiative of Her Royal Highness Princess Maha Chakri Sirindhorn,Thailand
626,Rajamangala University of Technology Isan,Thailand
627,"Chulalongkorn University, Bangkok, Thailand to AB",Thailand
628,Ministry of Health & Welfare,South Korea
629,"Ministry of Health & Welfare, Republic of Korea",South Korea
630,Bioverativ,United States
631,Chulalongkorn University Fund for Doctoral Scholarship,Thailand
632,JSPS,Japan
633,Petchra Pra Jom Klao Doctoral Scholarship,Thailand
634,Medical Association of Thailand,Thailand
635,Biogen-Idec,United States
636,Thrombosis Research Society,United Kingdom
637,CU Rachadapiseksompote Endowment Fund,Thailand
638,Chulalongkon University,Thailand
639,Zigong City Science and Technology office,China
640,Department of Veterans Affairs Office of Research and Development,United States
641,China Higher Education Society of Medical Education,China
642,Chinese Medical Association Medical Education Branch,China
643,Department of Education of Liaoning Province’s Basic Research Projects of Liaoning Colleges and Universities,China
644,Thailand National Research Fund,Thailand
645,Chiba Institute of Technology International Academic Fellowship Program for Cooperative Universities,Japan
646,TRF-OHEC-Chulalongkorn University,Thailand
647,Centers of Excellence for Influenza Research and Surveillance,United States
648,"Hoffmann-La Roche, Ltd.",Switzerland
649,Overseas Research Experience Scholarship for Graduate Students of Chulalongkorn University,Thailand
650,Thai Research Fund,Thailand
651,AJ Plast Public Company Limited,Thailand
652,"Ratchadapiseksomphot endowment fund, Faculty of Medicine, Chulalongkorn University",Thailand
653,Associates of Cape Cod,United States
654,Beijing Lisheng Cardiovascular Health Foundation,China
655,Istituto Auxologico Italiano,Italy
656,Ministry of Science and ICT,South Korea
657,International Center for Natural Environmental Science of Meijo University,Japan
658,Chulalongkorn Graduate School,Thailand
659,"Join Funding, Ratchadapiseksomphot Endowment Fund",Thailand
660,J. Craig Venter Institute,United States
661,NIAID Pathogen Functional Genomics Resource Center,United States
662,U.S. National Institutes of Health,United States
663,KAKENHI,Japan
664,Nagoya City University Graduate School of Medical Sciences,Japan
665,United Graduate School of Agricultural Science,Japan
666,German Federal Ministry for Economic Cooperation and Development,Germany
667,NIH National Institute on Aging,United States
668,Rachadaphisek Sompot Endorsement Fund,Thailand
669,Thailand Research Foundation,Thailand
670,Endocrine Society of Thailand,Thailand
671,"Faculty of Medicine Ramathibodi Hospital, Mahidol University",Thailand
672,Sripatum University,Thailand
673,Academy of Sciences of Ukraine,Ukraine
674,Hungarian Ministry of Human Capacities,Hungary
675,MSMT CR of the Czech Republic,Czech Republic
676,Nylands nation vid Helsingfors Universitet,Finland
677,National Research Council of Thailand-Japan Society for the Promotion of Science,Thailand
678,Chu- lalongkorn University,Thailand
679,College of Public Health Sciences,Thailand
680,National Science Technology and Innovation Policy Office,Thailand
681,Ratchadapiseksompoj Fund,Thailand
682,Division of Intramural Research,United States
683,Department of Veterinary Services,Malaysia
684,Department of Chemical Engineering from Kasetsart University,Thailand
685,SEARCH/Thai Red Cross AIDS Research Centre,Thailand
686,Chulalongkorn University-Veterinary Science Fund,Thailand
687,Sirindhorn International Thai-German Graduate School of Engineering,Thailand
688,Chulalong-korn Academic Advancement,Thailand
689,US National Institute on Aging,United States
690,Chulalongkorn University Office of International Affairs Scholarship for Short-term Research,Thailand
691,NAIST,Japan
692,Janssen/Tibotec,Belgium
693,Ratchadaphiseksomphot Endowment Fund for the Natural Products for Ageing and Chronic Diseases,Thailand
694,Government of Abu Dhabi,United Arab Emirates
695,National Human Genome Research,United States
696,PKS Italia,Italy
697,Ratchadapiseksompotch Endowment Fund,Thailand
698,German Primate Centre in Goettingen,Germany
699,BMKG,Indonesia
700,DOST-PCIEERD,Philippines
701,Meiji Pharmaceutical University,Japan
702,Shaanxi Science Fund for Distinguished Young Scholars,China
703,WHO-Thailand,Thailand
704,World Health Organization Thailand,Thailand
705,BMNH,United Kingdom
706,Center for Allergy Research and Education,United States
707,"Science Achievement Scholarship of Thailand and Research Center for Academic Excellence in Petroleum, Petrochemical and Advanced Materials",Thailand
708,"Department of Medicine, Faculty of Medicine, Chulalongkorn University",Thailand
709,Dermatological Society of Thailand,Thailand
710,CAPES Foundation,Brazil
711,Graduate School of Chulalongkorn University and Ratchadaphiseksomphot Endowment Fund,Thailand
712,Universities Space Research Association,United States
713,Grant for Chula Research Scholar,Thailand
714,Western Center for Food Safety,United States
715,Siriraj Core Research Facility,Thailand
716,Siriraj Research and Development,Thailand
717,Melbourne Institute,Australia
718,EPSCoR/IDeA,United States
719,National Natural Science Funding of China,China
720,Zhejiang Provincial Natural Science Foundation of China,China
721,Zhejiang Qianjiang Talent project,China
722,Rachadapisek Sompote Fund for Artificial Intelligence,Thailand
723,Chulalongkorn University Animal Care and Use Committee,Thailand
724,"Swine Research and Development Center, Thailand",Thailand
725,The Thailand Research Fund Senior Scholar,Thailand
726,Federal Ministry of Education and Research BMBF,Germany
727,Ratchadapisek Sompotch Endowment Fund,Thailand
728,Boehringer-Ingelheim-Foundation,Germany
729,"Department of Chemical Technology, Chulalongkorn University",Thailand
730,JGSEE,Thailand
731,Department of Biological Chemistry John Innes Centre,United Kingdom
732,John Innes Centre,United Kingdom
733,ASIAA,Taiwan
734,Chulalongkorn University?s CUniverse,Thailand
735,Key Fund Project of Educational Commission of Sichuan Province,China
736,National High Technology Research & Development Program,China
737,Chulabhorn Royal Academy,Thailand
738,"Ministry of Higher Education, Science, Research and Innovation",Thailand
739,"Thailand c Department of Lifelong Education, Faculty of Education, Chulalongkorn University",Thailand
740,Princess Maha Chakri Sirindhorn Anthropology Centre,Thailand
741,Gulf Coast Consortia,United States
742,Chinese Academy of Science,China
743,DOE Office of Science,United States
744,Deep Carbon Observatory,United States
745,National Science Foundation–Earth Sciences,United States
746,CUniverse research promotion project of Chu-lalongkorn University in Bangkok,Thailand
747,Japanese Society for Promotion of Science,Japan
748,Korea Electronic Power Research Institute,South Korea
749,"Ministry of Trade, Industry & Energy",South Korea
750,Ministry of Agriculture and Cooperatives,Thailand
751,International AIDS Society or ViiV Healthcare,Switzerland
752,Anniversary Faculty of Dentistry Khon Kaen University Research Funding,Thailand
753,Khon Kaen University Graduate School Thesis Support Scholarship,Thailand
754,S.-FNRS,Belgium
755,Ratchadaphiseksomphot Endowment Fund of Chula-longkorn University,Thailand
756,JST CREST,Japan
757,Faculty of Humanities and Rajabhat Suan Sunandha University,Thailand
758,Ratchadapisek Sompotch Fund,Thailand
759,Anniversary Chulalongkorn University Fund for the Doctoral Scholarship,Thailand
760,"Chulalongkorn University, Thailand",Thailand
761,Chulalongkorn Fund,Thailand
762,"Ministry of Research, Technology, and Higher Education of the Republic of Indonesia",Indonesia
763,NSF ECCS-1509076,United States
764,"Graduate School, Chulalongkorn University",Thailand
765,HIV-NAT,Thailand
766,Leventis Founda,Greece
767,Thailand Research Fund‐Chinese Academy of Science,Thailand
768,Ratchadapiseksomphot endowment fund,Thailand
769,JST-MIRAI,Japan
770,Wellcome-Trust Major Overseas Programme in SE Asia,United Kingdom
771,Children Cancer Fund,United States
772,"Cancer Research UK, and Research Councils UK",United Kingdom
773,European Research Council,Belgium
774,Francis Crick Institute,United Kingdom
775,NIAID,United States
776,National Institutes of Allergy and Infectious Diseases,United States
777,National Research Foundation of South Africa,South Africa
778,Office of the Higher Education Commission,Thailand
779,Swiss National Center for Mycobacteria,Switzerland
780,Swiss National Science Foundation,Switzerland
781,UK Medical Research Council,United Kingdom
782,University of Zurich,Switzerland
783,Wellcome Trust,United Kingdom
784,China Mega-Project for Infectious Disease,China
785,JSPS-RONPAKU,Japan
786,European Accounting Association in Maastricht,Netherlands
787,DistinguishedYoungScholarsforHebeiProvinceofChina,China
788,"Andrew Kambugu, Infectious Diseases Institute",Uganda
789,Bamrasnaradura Infectious Disease Institute,Thailand
790,Helen Joseph Hospital,South Africa
791,Janssen Pharmaceutica NV,Belgium
792,Janssen Pharmaceutical Companies of Johnson & Johnson and holds stock in Johnson & Johnson,United States
793,"Karla Mellet, University of the Witwatersrand",South Africa
794,Kenyatta Hospital,Kenya
795,"Netherlands Australia Thailand Research Collaboration, Bangkok",Thailand
796,"Siriraj Hospital Department of Infectious Disease Faculty of Medicine, Bangkok",Thailand
797,Themba Lethu Research Centre,South Africa
798,"UVRI Uganda Research Unit on AIDS, Entebbe",Uganda
799,Yaoundé Central Hospital,Cameroon
800,Sukhothai Thammathirat Open University,Thailand
801,Tokyo Denki University,Japan
802,The Development and Promotion of Science and Technology Talent Projects,Thailand
803,International AIDS Soci-ety,Switzerland
804,Deutsche Forschungsgemein-schaft,Germany
805,Ibn Zohr University,Morocco
806,Navarino Environmental Observatory,Greece
807,Kaoh-siung Medical University,Taiwan
808,International Institute for Nanotechnology,United States
809,Allergan and Merz,United States
810,Neurological Society of Thailand,Thailand
811,Zambon Pharma,Italy
812,Chulalongkorn University Veterinary Science Research Fund,Thailand
813,University Medical Center Utrecht,Netherlands
814,"Department of Materials Science, Faculty of Science, Chulalongkorn University",Thailand
815,Silver Jubilee Fund of CU,Bangladesh
816,Chulalongkorn University Fund for Doctoral scholarship,Thailand
817,A.P. Sloan Foundation,United States
818,F.R.S.-FNRS,Belgium
819,Fonds pour la Formation ?,France
820,Greek NSRF,Greece
821,National Priorities Research Program,Qatar
822,"National Science Center (Poland), contracts Harmonia",Poland
823,Programa Estatal de Fomento de la Investigaci?n Cient?fica y T?cnica de Excelencia Mar?a de Maeztu,Spain
824,la Recherche dans l'Industrie et dans l'Agriculture,France
825,Costa Rica Institute of Technology,Costa Rica
826,"Ministry of Science and Technology, Thailand, the Thailand Research Fund",Thailand
827,"Ministry of Science, Technology and Telecommunications of Costa Rica",Costa Rica
828,Institute of Mathematics for Industry,Japan
829,"Institute of Mathematics for Industry, Kyushu University",Japan
830,Thailand Reseach Fund,Thailand
831,"Veterinary Science, Chulalongkorn University",Thailand
832,Scientific Research–Flanders,Belgium
833,Hadamard Mathematics LabEx,France
834,Primate Research Institute,Japan
835,Roscoe Stanyon (University of Florence,Italy
836,Belgian Federal government,Belgium
837,Research Foundation-Flanders,Belgium
838,Institute of Veterinary Bacteriology,Switzerland
839,Swiss Federal Food Safety and Veterinary Office FSVO,Switzerland
840,AMED Research programe on Regulatory Science,Japan
841,"Chang Gung Memorial Hospital, Taiwan",Taiwan
842,Japanese Society,Japan
843,Japan Society for Promotion of Sciences,Japan
